ID,powercap,Rate,Power,speedup,powerup,powercap_norm
1,50,389.859802,70.311756,1,1,1
2,60,389.502676,70.18773,0.999083963,0.998236056,1.2
3,70,464.705542,84.810302,1.1919811676,1.206203725,1.4
4,80,442.656977,78.197013,1.135426055,1.112147064,1.6
5,90,506.942026,88.142198,1.30031879,1.2535911918,1.8
6,100,564.149965,98.106065,1.4470585634,1.3953010219,2
7,110,615.729109,107.901364,1.5793603389,1.5346134151,2.2
8,120,665.057325,117.811739,1.7058884286,1.6755624621,2.4
9,130,707.306011,127.257492,1.8142573494,1.8099034819,2.6
10,140,749.51334,137.132054,1.9225201884,1.950343183,2.8
11,150,789.593039,146.909709,2.0253256041,2.0894046367,3
12,160,827.019894,156.320732,2.1213264095,2.2232517134,3.2
13,170,862.905595,166.462262,2.213374117,2.367488333,3.4
14,180,895.007448,176.674244,2.2957161611,2.5127269471,3.6
15,190,922.057298,185.298003,2.3650996929,2.6353772618,3.8
16,200,946.530524,194.116243,2.4278741208,2.7607935578,4
17,210,971.332467,203.799965,2.4914917158,2.8985190613,4.2
18,220,994.286817,214.454672,2.5503701892,3.0500542754,4.4
19,230,1017.269487,223.246674,2.6093213042,3.1750974048,4.6
20,240,1044.096085,234.194491,2.6781321892,3.3308013385,4.8
21,250,1060.967063,241.720726,2.7214066635,3.4378422578,5
22,260,1061.610037,241.69037,2.7230559077,3.4374105235,5.2
23,270,1058.354263,241.577592,2.7147047671,3.4358065527,5.4
24,280,1061.295069,242.22868,2.722248007,3.445066569,5.6
25,290,1062.56903,242.432776,2.7255157484,3.4479692983,5.8
26,300,1061.874276,242.481609,2.7237336872,3.4486638195,6
